지역,소멸위험지수,여성_20_39세,65세_이상,기준월,산식
대전광역시 유성구,0.998,51443,51566,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
대전광역시 중구,0.444,25080,56540,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
부산광역시 강서구,0.699,16643,23798,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
부산광역시 금정구,0.352,21198,60192,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
부산광역시 기장군,0.435,16359,37583,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
부산광역시 남구,0.428,28045,65555,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
부산광역시 동구,0.344,9141,26547,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
부산광역시 동래구,0.43,28198,65555,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
부산광역시 부산진구,0.572,51346,89706,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
부산광역시 북구,0.372,25819,69412,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
부산광역시 사상구,0.378,20161,53336,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
부산광역시 사하구,0.34,26644,78434,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
부산광역시 서구,0.322,10402,32261,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
부산광역시 수영구,0.459,21364,46555,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
부산광역시 연제구,0.477,25055,52516,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
부산광역시 영도구,0.216,7829,36257,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
부산광역시 중구,0.333,4241,12724,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
부산광역시 해운대구,0.413,37173,89956,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 강남구,0.766,74783,97588,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 강동구,0.674,67962,100813,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 강북구,0.454,34446,75944,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 강서구,0.75,87359,116416,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 관악구,1.007,94684,94060,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 광진구,0.911,58308,64022,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 구로구,0.613,53979,88085,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 금천구,0.673,34361,51091,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 노원구,0.565,60460,107095,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 도봉구,0.43,34522,80304,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
