"행정구역","2026년06월_총인구수","2026년06월_세대수","2026년06월_세대당 인구","2026년06월_남자 인구수","2026년06월_여자 인구수","2026년06월_남여 비율"
"강원특별자치도 평창군 (5176000000)","39,897","22,226","          1.80","20,688","19,209","          1.08"
"강원특별자치도 정선군 (5177000000)","35,128","20,373","          1.72","18,479","16,649","          1.11"
"강원특별자치도 철원군 (5178000000)","39,711","20,296","          1.96","20,502","19,209","          1.07"
"강원특별자치도 화천군 (5179000000)","22,579","12,140","          1.86","12,114","10,465","          1.16"
"강원특별자치도 양구군 (5180000000)","20,372","10,444","          1.95","10,718","9,654","          1.11"
"강원특별자치도 인제군 (5181000000)","30,771","16,692","          1.84","16,875","13,896","          1.21"
"강원특별자치도 고성군 (5182000000)","27,204","15,583","          1.75","13,936","13,268","          1.05"
"강원특별자치도 양양군 (5183000000)","27,326","15,091","          1.81","13,964","13,362","          1.05"
"충청북도  (4300000000)","1,600,787","807,263","          1.98","816,339","784,448","          1.04"
"충청북도 청주시 (4311000000)","859,571","414,596","          2.07","434,988","424,583","          1.02"
"충청북도 청주시 상당구 (4311100000)","193,079","89,547","          2.16","95,877","97,202","          0.99"
"충청북도 청주시 서원구 (4311200000)","187,779","92,516","          2.03","93,588","94,191","          0.99"
"충청북도 청주시 흥덕구 (4311300000)","292,625","141,422","          2.07","149,484","143,141","          1.04"
"충청북도 청주시 청원구 (4311400000)","186,088","91,111","          2.04","96,039","90,049","          1.07"
"충청북도 충주시 (4313000000)","205,978","105,290","          1.96","104,552","101,426","          1.03"
"충청북도 제천시 (4315000000)","128,192","67,207","          1.91","64,719","63,473","          1.02"
"충청북도 보은군 (4372000000)","31,181","17,304","          1.80","15,874","15,307","          1.04"
"충청북도 옥천군 (4373000000)","50,547","26,627","          1.90","25,696","24,851","          1.03"
"충청북도 영동군 (4374000000)","43,011","23,884","          1.80","21,731","21,280","          1.02"
"충청북도 증평군 (4374500000)","36,741","19,191","          1.91","19,158","17,583","          1.09"
"충청북도 진천군 (4375000000)","85,569","43,392","          1.97","45,294","40,275","          1.12"
"충청북도 괴산군 (4376000000)","37,415","22,098","          1.69","19,395","18,020","          1.08"
"충청북도 음성군 (4377000000)","95,954","52,451","          1.83","51,296","44,658","          1.15"
"충청북도 단양군 (4380000000)","26,628","15,223","          1.75","13,636","12,992","          1.05"
"충청남도  (4400000000)","2,138,785","1,071,407","          2.00","1,098,635","1,040,150","          1.06"
"충청남도 천안시 (4413000000)","666,182","321,680","          2.07","341,662","324,520","          1.05"
"충청남도 천안시 동남구 (4413100000)","263,653","129,433","          2.04","133,603","130,050","          1.03"
"충청남도 천안시 서북구 (4413300000)","402,529","192,247","          2.09","208,059","194,470","          1.07"
"충청남도 공주시 (4415000000)","99,757","54,084","          1.84","49,758","49,999","          1.00"
"충청남도 보령시 (4418000000)","91,260","48,954","          1.86","46,271","44,989","          1.03"
"충청남도 아산시 (4420000000)","363,678","171,310","          2.12","189,700","173,978","          1.09"
"충청남도 서산시 (4421000000)","171,136","84,250","          2.03","89,625","81,511","          1.10"
